group,queue,waiting,vehicle_count
831,0.0,0.0,96.2
832,0.0,0.0,96.6
833,0.0,0.0,96.3
834,0.0,0.0,95.9
835,0.0,0.0,98.6
836,2.0,8.5,102.7
837,0.2,0.5,105.4
838,0.0,0.0,100.8
839,0.0,0.0,97.8
840,0.0,0.0,97.2
841,0.0,0.0,93.7
842,0.0,0.0,90.3
843,0.0,0.0,91.8
844,0.0,0.0,93.0
845,0.7,2.8,91.4
846,0.0,0.0,93.1
847,0.0,0.0,88.1
848,0.0,0.0,82.6
849,0.0,0.0,79.6
850,0.0,0.0,77.6
851,0.0,0.0,76.0
852,0.0,0.0,78.2
853,0.6,2.1,78.8
854,2.7,19.8,82.6
855,0.3,2.8,85.7
856,0.0,0.0,82.7
857,0.0,0.0,80.0
858,0.0,0.0,78.3
859,0.0,0.0,76.6
860,0.0,0.0,73.2
861,0.0,0.0,76.1
862,0.0,0.0,78.7
863,0.6,2.1,81.6
864,0.0,0.0,85.1
865,0.0,0.0,83.5
866,0.0,0.0,82.0
867,0.0,0.0,80.1
868,0.0,0.0,78.8
869,0.0,0.0,76.0
870,0.0,0.0,78.9
871,0.0,0.0,80.4
872,0.0,0.0,82.7
873,0.0,0.0,84.0
874,0.0,0.0,80.8
875,0.0,0.0,78.0
876,0.0,0.0,76.1
877,0.0,0.0,74.0
878,0.0,0.0,71.9
879,0.0,0.0,74.6
880,0.0,0.0,75.4
881,0.0,0.0,74.8
882,0.0,0.0,77.2
883,0.0,0.0,78.0
884,0.0,0.0,77.0
885,0.0,0.0,75.3
886,0.0,0.0,71.1
887,0.0,0.0,69.2
888,0.0,0.0,71.8
889,1.7,6.6,75.4
890,3.8,37.1,76.7
891,0.6,7.5,81.8
892,0.0,0.0,79.2
893,0.0,0.0,77.2
894,0.0,0.0,76.0
895,0.0,0.0,73.7
896,0.0,0.0,71.3
897,0.0,0.0,72.6
898,0.0,0.0,74.3
899,0.8,3.6,77.7
900,0.0,0.0,82.2
901,0.0,0.0,82.5
902,0.0,0.0,80.2
903,0.0,0.0,76.4
904,0.0,0.0,73.6
905,0.0,0.0,73.1
906,0.0,0.0,75.2
907,0.0,0.0,76.8
908,0.0,0.0,78.6
909,0.0,0.0,82.3
910,0.0,0.0,79.8
911,0.0,0.0,78.8
912,0.0,0.0,76.0
913,0.0,0.0,72.8
914,0.0,0.0,71.0
915,0.0,0.0,73.5
916,0.0,0.0,75.4
917,0.0,0.0,80.0
918,0.0,0.0,84.5
919,0.0,0.0,82.7
920,0.0,0.0,80.6
921,0.0,0.0,77.4
922,0.0,0.0,74.4
923,0.0,0.0,72.1
924,0.0,0.0,73.9
925,0.0,0.0,75.6
926,0.0,0.0,79.7
927,0.0,0.0,84.7
928,0.0,0.0,82.5
929,0.0,0.0,77.3
930,0.0,0.0,74.5
931,0.0,0.0,72.3
932,0.0,0.0,70.3
933,0.0,0.0,73.4
934,0.0,0.0,76.0
935,0.0,0.0,76.4
936,0.0,0.0,79.7
937,0.0,0.0,79.0
938,0.0,0.0,76.8
939,0.0,0.0,75.2
940,0.0,0.0,74.8
941,0.0,0.0,72.3
942,0.0,0.0,73.1
943,0.0,0.0,75.1
944,0.0,0.0,78.0
945,0.0,0.0,82.2
946,0.0,0.0,80.0
947,0.0,0.0,78.0
948,0.0,0.0,76.8
949,0.0,0.0,74.8
950,0.0,0.0,71.5
951,0.0,0.0,74.5
952,0.0,0.0,78.3
953,0.3,0.6,81.7
954,0.0,0.0,84.7
955,0.0,0.0,81.9
956,0.0,0.0,79.5
957,0.0,0.0,73.9
958,0.0,0.0,71.7
959,0.0,0.0,70.6
960,0.0,0.0,71.9
961,0.0,0.0,73.8
962,0.0,0.0,76.0
963,0.0,0.0,75.9
964,0.0,0.0,73.3
965,0.0,0.0,71.5
966,0.0,0.0,70.4
967,0.0,0.0,69.4
968,0.0,0.0,69.0
969,0.0,0.0,69.7
970,0.2,0.3,70.5
971,3.4,18.7,73.0
972,0.3,3.0,75.6
973,0.0,0.0,70.5
974,0.0,0.0,65.8
975,0.0,0.0,64.0
976,0.0,0.0,60.2
977,0.0,0.0,57.3
978,0.0,0.0,56.7
979,0.0,0.0,59.0
980,0.0,0.0,63.5
981,0.0,0.0,67.2
982,0.0,0.0,66.4
983,0.0,0.0,62.9
984,0.0,0.0,60.8
985,0.0,0.0,57.5
986,0.0,0.0,54.8
987,0.0,0.0,55.4
988,0.4,1.0,59.3
989,1.4,10.5,62.1
990,0.0,0.0,65.8
991,0.0,0.0,66.6
992,0.0,0.0,61.2
993,0.0,0.0,59.7
994,0.0,0.0,58.7
995,0.0,0.0,58.1
996,0.0,0.0,61.0
997,0.0,0.0,64.3
998,0.6,2.1,67.5
999,0.0,0.0,71.5
1000,0.0,0.0,68.4
1001,0.0,0.0,66.9
1002,0.0,0.0,65.4
1003,0.0,0.0,64.4
1004,0.0,0.0,61.8
1005,0.0,0.0,63.6
1006,0.0,0.0,66.8
1007,0.0,0.0,70.9
1008,0.0,0.0,73.5
1009,0.0,0.0,68.9
1010,0.0,0.0,66.8
1011,0.0,0.0,65.5
1012,0.0,0.0,63.7
1013,0.0,0.0,61.4
1014,0.0,0.0,62.3
1015,0.0,0.0,64.9
1016,0.0,0.0,66.8
1017,0.0,0.0,69.8
1018,0.0,0.0,67.9
1019,0.0,0.0,66.0
1020,0.0,0.0,62.0
1021,0.0,0.0,57.9
1022,0.0,0.0,56.1
1023,0.0,0.0,58.0
1024,0.0,0.0,61.8
1025,0.0,0.0,66.1
1026,0.0,0.0,69.0
1027,0.0,0.0,66.7
1028,0.0,0.0,63.7
1029,0.0,0.0,61.9
1030,0.0,0.0,61.0
1031,0.0,0.0,59.6
1032,0.0,0.0,61.0
1033,0.0,0.0,66.5
1034,0.0,0.0,70.9
1035,0.0,0.0,74.5
1036,0.0,0.0,70.6
1037,0.0,0.0,65.9
1038,0.0,0.0,62.1
1039,0.0,0.0,59.9
1040,0.0,0.0,57.9
1041,0.0,0.0,56.4
1042,0.0,0.0,59.3
1043,0.0,0.0,61.0
1044,0.0,0.0,63.1
1045,0.0,0.0,63.6
1046,0.0,0.0,63.0
1047,0.0,0.0,61.2
1048,0.0,0.0,59.2
1049,0.0,0.0,55.7
1050,0.0,0.0,56.2
1051,0.3,0.6,55.5
1052,1.0,8.5,56.6
1053,0.0,0.0,58.9
1054,0.0,0.0,55.3
1055,0.0,0.0,54.0
1056,0.0,0.0,53.3
1057,0.0,0.0,50.6
1058,0.0,0.0,46.4
1059,0.0,0.0,46.1
1060,0.4,1.0,46.5
1061,1.0,9.5,47.9
1062,0.0,0.0,50.8
1063,0.0,0.0,47.0
1064,0.0,0.0,41.1
1065,0.0,0.0,38.4
1066,0.0,0.0,36.9
1067,0.0,0.0,37.0
1068,0.0,0.0,38.5
1069,0.0,0.0,39.4
1070,2.3,10.2,40.5
1071,0.3,2.4,43.5
1072,0.0,0.0,39.6
1073,0.0,0.0,37.5
1074,0.0,0.0,37.0
1075,0.0,0.0,37.5
1076,0.0,0.0,39.3
1077,0.0,0.0,41.5
1078,0.0,0.0,43.5
1079,0.0,0.0,42.6
1080,0.0,0.0,39.2
1081,0.0,0.0,37.4
1082,0.0,0.0,32.7
