step,tls_id,queue,waiting,vehicle_count,phase
37,J8,0,0.0,37,0
38,J0,1,0.0,38,0
38,J1,2,31.0,38,0
38,J10,3,41.0,38,0
38,J11,5,47.0,38,0
38,J12,2,31.0,38,2
38,J13,1,22.0,38,0
38,J2,2,10.0,38,0
38,J4,1,1.0,38,2
38,J8,0,0.0,38,0
39,J0,0,0.0,39,0
39,J1,2,33.0,39,0
39,J10,3,44.0,39,0
39,J11,5,52.0,39,0
39,J12,3,33.0,39,2
39,J13,1,23.0,39,0
39,J2,2,12.0,39,0
39,J4,1,2.0,39,2
39,J8,0,0.0,39,0
40,J0,0,0.0,40,0
40,J1,2,35.0,40,0
40,J10,4,47.0,40,0
40,J11,5,57.0,40,0
40,J12,2,35.0,40,2
40,J13,1,24.0,40,0
40,J2,2,14.0,40,0
40,J4,1,3.0,40,2
40,J8,0,0.0,40,0
41,J0,1,0.0,41,0
41,J1,2,37.0,41,0
41,J10,3,50.0,41,0
41,J11,5,62.0,41,0
41,J12,3,38.0,41,2
41,J13,1,25.0,41,0
41,J2,2,16.0,41,0
41,J4,1,4.0,41,2
41,J8,0,0.0,41,0
42,J0,0,0.0,42,1
42,J1,2,39.0,42,1
42,J10,3,53.0,42,1
42,J11,5,67.0,42,1
42,J12,3,41.0,42,2
42,J13,1,26.0,42,1
42,J2,2,18.0,42,1
42,J4,1,5.0,42,2
42,J8,0,0.0,42,1
43,J0,0,0.0,43,1
43,J1,2,41.0,43,1
43,J10,3,56.0,43,1
43,J11,5,72.0,43,1
43,J12,3,44.0,43,2
43,J13,1,27.0,43,1
43,J2,2,20.0,43,1
43,J4,1,6.0,43,2
43,J8,0,0.0,43,1
44,J0,0,0.0,44,1
44,J1,2,43.0,44,1
44,J10,3,59.0,44,1
44,J11,6,77.0,44,1
44,J12,3,47.0,44,2
44,J13,1,28.0,44,1
44,J2,2,22.0,44,1
44,J4,1,7.0,44,2
44,J8,0,0.0,44,1
45,J0,0,0.0,44,2
45,J1,1,16.0,44,2
45,J10,2,29.0,44,2
45,J11,3,43.0,44,2
45,J12,3,50.0,44,2
45,J13,0,0.0,44,2
45,J2,0,0.0,44,2
45,J4,1,8.0,44,2
45,J8,0,0.0,44,2
46,J0,0,0.0,45,2
46,J1,0,0.0,45,2
46,J10,1,12.0,45,2
46,J11,1,13.0,45,2
46,J12,4,54.0,45,2
46,J13,0,0.0,45,2
46,J2,0,0.0,45,2
46,J4,2,10.0,45,2
46,J8,0,0.0,45,2
47,J0,0,0.0,47,2
47,J1,0,0.0,47,2
47,J10,0,0.0,47,2
47,J11,2,1.0,47,2
47,J12,4,58.0,47,2
47,J13,0,0.0,47,2
47,J2,0,0.0,47,2
47,J4,2,12.0,47,2
47,J8,0,0.0,47,2
48,J0,0,0.0,48,2
48,J1,0,0.0,48,2
48,J10,0,0.0,48,2
48,J11,1,2.0,48,2
48,J12,4,62.0,48,2
48,J13,1,0.0,48,2
48,J2,1,1.0,48,2
48,J4,2,14.0,48,2
48,J8,0,0.0,48,2
49,J0,0,0.0,49,2
49,J1,0,0.0,49,2
49,J10,0,0.0,49,2
49,J11,2,3.0,49,2
49,J12,5,67.0,49,2
49,J13,0,0.0,49,2
49,J2,1,2.0,49,2
49,J4,2,16.0,49,2
49,J8,0,0.0,49,2
50,J0,1,0.0,50,2
50,J1,0,0.0,50,2
50,J10,0,0.0,50,2
50,J11,1,4.0,50,2
50,J12,5,72.0,50,2
50,J13,0,0.0,50,2
50,J2,1,3.0,50,2
50,J4,2,18.0,50,2
50,J8,1,1.0,50,2
51,J0,0,0.0,51,2
51,J1,0,0.0,51,2
51,J10,0,0.0,51,2
51,J11,2,6.0,51,2
51,J12,6,78.0,51,2
51,J13,0,0.0,51,2
51,J2,1,4.0,51,2
51,J4,2,20.0,51,2
51,J8,1,2.0,51,2
52,J0,0,0.0,52,2
52,J1,1,1.0,52,2
52,J10,0,0.0,52,2
52,J11,3,8.0,52,2
52,J12,6,84.0,52,2
52,J13,0,0.0,52,2
52,J2,1,5.0,52,2
